<div style="text-align: center; font-size: 12px;">Номер<br />п/п</div>	<div style="text-align: center; font-size: 12px;">Наименование статей</div>	<div style="text-align: center; font-size: 12px;">Денежные потоки за отчетный период	<div style="text-align: center; font-size: 12px;">Денежные потоки за предыдущий отчетный период</div>	
1	<b>Чистые денежные средства, полученные от/использованные в операционной деятельности:</b>		
1.1	Денежные средства, полученные от/использованные в операционной деятельности до изменений в операционных активах и обязательствах, всего, в том числе:	160 328	189 422
1.1.1	Проценты полученные	799 304	738 814
1.1.2	Проценты уплаченные	-453 642	-330 913
1.1.3	Комиссии полученные	201 406	170 330
1.1.4	Комиссии уплаченные	-11 060	-9 490
1.1.5	Доходы за вычетом расходов по операциям с финансовыми активами, оцениваемыми по справедливой стоимости через прибыль или убыток, имеющимися в наличии для продажи	-535	138
1.1.6	Доходы за вычетом расходов по операциям с ценными бумагами, удерживаемыми до погашения	-	-
1.1.7	Доходы за вычетом расходов по операциям с иностранной валютой	22 765	37 873
1.1.8	Прочие операционные доходы	17 533	11 151
1.1.9	Операционные расходы	-377 710	-402 507
1.1.10	Расход/возмещение по налогу на прибыль	-37 733	-25 974
1.2	Прирост /снижение чистых денежных средств от операционных активов и обязательств, всего, в том числе:	-169 797	-189 007
1.2.1	Чистый прирост /снижение  по обязательным резервам на счетах в Банке России	-15 742	-32 751
1.2.2	Чистый прирост /снижение по вложениям в ценные бумаги, оцениваемым по справедливой стоимости через прибыль или убыток	-1007 851	-73 295
1.2.3	Чистый прирост /снижение по средствам в кредитных организациях	-1205 598	-884 067
1.2.4	Чистый прирост /снижение по ссудной задолженности	13 626	-23 904
1.2.5	Чистый прирост/снижение по прочим активам:	0	-95 000
1.2.6	Чистый прирост /снижение по кредитам, депозитам и прочим средствам Банка России	0	0
1.2.7	Чистый прирост /снижение по средствам других кредитных организаций	2163 648	775 763
1.2.8	Чистый прирост /снижение по средствам клиентов (некредитных организаций)	0	0
1.2.9	Чистый прирост /снижение по  финансовыми обязательствам, оцениваемыми по справедливой стоимости через прибыль или убыток	-106 152	133 317
1.2.10	Чистый прирост /снижение по выпущенным долговым обязательствам	-11 727	10 930
1.3	Итого по разделу 1 (ст.1.1.+ст.1.2)	-9 469	415
2	<b>Чистые денежные средства, полученные от/использованные в инвестиционной деятельности</b>	
2.1	Приобретение ценных бумаг и других финансовых активов, относящихся к категории "имеющиеся в наличии для продажи"	-	-
2.2	Выручка от реализации и погашения ценных бумаг и других финансовых активов, относящихся к категории "имеющиеся в наличии для продажи"	-	-
2.3	Приобретение ценных бумаг, относящихся к категории "удерживаемые до погашения"	-	-
2.4	Выручка от погашения ценных бумаг, относящихся к категории "удерживаемые до погашения"	-	-
2.5	Приобретение основных средств, нематериальных активов и материальных запасов	-14 202	-42 189
2.6	Выручка от реализации основных средств, нематериальных активов и материальных запасов	259	6 938
2.7	Дивиденды полученные	-	-
2.8	Итого по разделу 2 (сумма строк с 2.1. по 2.7)	-13 943	-35 251
3	<b>Чистые денежные средства, полученные от/использованные в финансовой деятельности</b>		
3.1	Взносы акционеров (участников) в уставный капитал	-	-
3.2	Приобретение собственных акций (долей), выкупленных у акционеров (участников)	-	-
3.3	Продажа собственных акций (долей), выкупленных у акционеров (участников)	-	-
3.4	Выплаченные дивиденды	-	-
3.5	Итого по разделу 3 (сумма строк с 3.1. по 3.4)	-	-
4	<b>Влияние изменений официальных курсов иностранных валют по отношению к рублю, установленных Банком России, на денежные средства и их эквиваленты</b>	-14 920	21 222
5	<b>Прирост/ использование денежных средств и их эквивалентов</b>	-38 332	-13 614
5.1	Денежные средства и их эквиваленты на начало отчетного года	830 482	844 096
5.2	Денежные средства и их эквиваленты на конец отчетного года	792 150	830 482

